,State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,
57,andaman-&-nicobar-islands,2019,2,744211,1047,3168331.992,"insert into top_trans values (57,'andaman-&-nicobar-islands',2019,2,744211,1047,3168331.99173521);"
58,andaman-&-nicobar-islands,2019,2,744301,1007,4849284.519,"insert into top_trans values (58,'andaman-&-nicobar-islands',2019,2,744301,1007,4849284.51925976);"
59,andaman-&-nicobar-islands,2019,2,744112,763,2928099.608,"insert into top_trans values (59,'andaman-&-nicobar-islands',2019,2,744112,763,2928099.60840614);"
60,andaman-&-nicobar-islands,2019,3,744103,5680,19906337.01,"insert into top_trans values (60,'andaman-&-nicobar-islands',2019,3,744103,5680,19906337.0142555);"
61,andaman-&-nicobar-islands,2019,3,744101,5606,18745152.09,"insert into top_trans values (61,'andaman-&-nicobar-islands',2019,3,744101,5606,18745152.0935156);"
62,andaman-&-nicobar-islands,2019,3,744104,4786,15754793.35,"insert into top_trans values (62,'andaman-&-nicobar-islands',2019,3,744104,4786,15754793.3548264);"
63,andaman-&-nicobar-islands,2019,3,744102,3643,14572605.6,"insert into top_trans values (63,'andaman-&-nicobar-islands',2019,3,744102,3643,14572605.6027452);"
64,andaman-&-nicobar-islands,2019,3,744105,3512,11767224,"insert into top_trans values (64,'andaman-&-nicobar-islands',2019,3,744105,3512,11767223.9968877);"
65,andaman-&-nicobar-islands,2019,3,744202,1417,3875602.098,"insert into top_trans values (65,'andaman-&-nicobar-islands',2019,3,744202,1417,3875602.09820287);"
66,andaman-&-nicobar-islands,2019,3,744301,1402,6195496.622,"insert into top_trans values (66,'andaman-&-nicobar-islands',2019,3,744301,1402,6195496.62172991);"
67,andaman-&-nicobar-islands,2019,3,744211,1118,2983697.449,"insert into top_trans values (67,'andaman-&-nicobar-islands',2019,3,744211,1118,2983697.44937818);"
68,andaman-&-nicobar-islands,2019,3,744107,914,1988299.76,"insert into top_trans values (68,'andaman-&-nicobar-islands',2019,3,744107,914,1988299.75971098);"
69,andaman-&-nicobar-islands,2019,3,744112,833,2198831.692,"insert into top_trans values (69,'andaman-&-nicobar-islands',2019,3,744112,833,2198831.69194061);"
70,andaman-&-nicobar-islands,2019,4,744104,6633,20626642.7,"insert into top_trans values (70,'andaman-&-nicobar-islands',2019,4,744104,6633,20626642.7015085);"
71,andaman-&-nicobar-islands,2019,4,744101,5282,23247752.47,"insert into top_trans values (71,'andaman-&-nicobar-islands',2019,4,744101,5282,23247752.473849);"
72,andaman-&-nicobar-islands,2019,4,744103,4840,19792507.96,"insert into top_trans values (72,'andaman-&-nicobar-islands',2019,4,744103,4840,19792507.955761);"
73,andaman-&-nicobar-islands,2019,4,744105,3528,15302141.17,"insert into top_trans values (73,'andaman-&-nicobar-islands',2019,4,744105,3528,15302141.1748802);"
74,andaman-&-nicobar-islands,2019,4,744102,3237,15350444.97,"insert into top_trans values (74,'andaman-&-nicobar-islands',2019,4,744102,3237,15350444.9732076);"
75,andaman-&-nicobar-islands,2019,4,744202,1783,5800016.556,"insert into top_trans values (75,'andaman-&-nicobar-islands',2019,4,744202,1783,5800016.55611288);"
